Flash_E (J),freq (Hz),phi (degrees),Energy (uJ),Power (uW)
14,30,0,1.916666667,57.5
14,30,7,2.086666667,62.6
14,30,15,2.2,66
14,30,18,2.3,69
14,30,28,2.466666667,74
14,30,34,2.566666667,77
14,30,42,2.683333333,80.5
14,30,45,2.7,81
14,30,51,2.766666667,83
14,30,59,2.833333333,85
14,30,65,2.853333333,85.6
14,30,72,2.866666667,86
14,30,80,2.866666667,86
14,30,89,2.816666667,84.5
14,30,95,2.783333333,83.5
14,30,106,2.666666667,80
14,30,113,2.616666667,78.5
14,30,120,2.543333333,76.3
14,30,128,2.443333333,73.3
14,30,137,2.333333333,70
14,30,145,2.183333333,65.5
14,30,152,2.086666667,62.6
14,30,160,1.916666667,57.5
14,30,165,1.72,51.6
14,30,171,1.433333333,43
14,30,175,1.766666667,53
14,30,180,1.933333333,58
